		Links Oben	Rechts unten	Breite/Höhe
Laser 		1069x159 	1158x234	89x75
Schiff		1164x159	1278x234	114x75
Projekt		1284x159	1408x234	124x75
Werfer		1414x159	1528x234	114x75
Schild		1535x159	1623x234	88x75

Genera		1069x240	1203x315	134x75
Muni		1210x240	1343x315	133x75
Engine		1349x240	1485x315	96x75
Armor		1492x240	1623x315	131x75

Reposi		1083x63		1333x150	250x87
Shop		1360x63		1608x150	248x87

Lupe		1587x328	1632x387	45x59


Links		60x63		659x977		599x914
MitteOben	691x63		1039x503	348x440
MitteUnten	691x537		1039x978	348x441
Rechts		1071x403	1620x978	549x575
RKleinLinks	1071x338	1258x373	187x35
RKleinRechts	1288x338	1568x373	280x35
